E1,px1,py1,pz1,E2,px2,py2,pz2,M,Class
98.9778,31.1012,-48.8146,80.2899,47.5121,7.5856,37.0602,28.7472,89.0808,1
113.3218,37.5072,-6.1235,-106.7592,52.3742,-30.2493,7.1248,-42.1578,72.2856,1
176.8646,40.8404,-11.4862,171.7009,76.2064,-38.5469,8.722999999999999,65.1572,89.052,1
58.1034,46.3354,-31.4074,-15.5758,55.5457,-24.548000000000002,-17.2936,46.7296,95.3891,1
69.0937,28.9533,30.3707,-54.8932,32.7511,-30.2174,-2.3708,12.4065,88.2136,1
53.7901,46.5762,-25.1678,9.5188,40.7515,-30.052,18.5792,-20.3072,92.22399999999999,1
43.7633,25.1785,21.5163,28.6063,92.196,-10.6097,-27.6355,87.3145,69.2648,1
30.2415,25.4598,14.9357,6.5782,85.4821,-18.5551,-18.7818,81.3028,74.876,1
114.86200000000001,-35.0796,-18.5788,107.7847,33.1678,31.9493,-0.2251,-8.9049,108.5,1
66.8144,-48.3223,-13.3151,44.1795,34.8245,22.4651,-21.9561,-15.0331,86.9959,1
106.6071,23.6918,38.5565,-96.5254,165.0151,-19.9309,-34.9471,-160.0358,89.0381,1
50.2549,14.9185,-37.065,30.4824,24.9115,-19.2132,10.9405,11.4778,56.4658,1
48.8126,47.8177,-5.6472,-8.015,54.3753,-40.2338,-14.0519,33.7706,97.6668,1
93.2574,24.0356,29.5588,85.1206,37.6453,18.4351,-32.7247,-2.5323,92.2005,1
100.0061,12.7291,43.9356,-88.9317,108.5693,-12.5119,-41.2254,-99.6555,89.0571,1
85.6227,28.5658,-32.0215,74.0936,41.1205,-21.7537,31.3611,15.3022,89.5846,1
62.628,57.9655,-11.4613,20.7583,35.0925,-32.6038,12.9334,1.0959,91.7949,1
57.6228,22.6786,10.1909,51.9829,38.4299,-20.3751,-7.8741,-31.6182,93.8123,1
34.0344,32.7374,-7.4569,-5.5672,56.4777,-31.0783,9.9159,46.1036,80.873,1
36.6921,0.0739,-36.5422,3.3127,86.9799,14.6794,32.0106,79.5319,90.51700000000001,1
117.7629,-50.2973,14.0866,-105.5454,236.7181,6.5186,-48.8315,-231.535,94.3915,1
42.4275,-39.6793,-3.9432,14.4948,97.1536,34.1505,4.8441,90.8246,91.4295,1
170.8645,-19.0449,-24.6586,167.9998,22.7394,21.4528,7.3553,1.6604,91.6116,1
38.6453,-12.0374,17.1442,32.4751,52.2583,12.3896,-16.8045,-47.9065,89.5828,1
43.0419,37.5269,19.6772,-7.5595,63.9993,-10.7725,-33.3932,53.5234,91.8761,1
59.0273,-34.6182,47.1769,7.7556,31.5563,15.0643,-27.6976,1.3069,85.79899999999999,1
