E1,px1,py1,pz1,pt1,eta1,phi1,E2,px2,py2,pz2,pt2,eta2,phi2,M,Class
80.551,-26.4053,-36.759,66.6334,45.2599,1.1793,-2.1937,34.4511,8.735,33.3212,0.528,34.4471,0.0153,-2.1937,91.6012,1
58.3868,-54.5169,20.2353,5.24,58.1512,0.09,2.7862,36.516,33.2538,-11.8236,-9.3705,35.2933,-0.2625,2.7862,92.0142,1
95.1591,-27.728,-31.5873,85.3736,42.0309,1.4575,-2.2912,23.8092,23.3399,2.1342,-4.1919,23.4373,-0.1779,-2.2912,81.7083,1
84.6758,40.6214,-52.4841,52.5862,66.3678,0.7267,-0.9121,103.18,-25.2236,-4.1466,99.9634,25.5622,2.0728,-0.9121,92.5974,1
92.1522,59.9835,12.502,68.831,61.2725,0.966,0.2055,173.577,-44.3054,-8.6161,167.606,45.1355,2.0228,0.2055,120.2026,1
35.5302,32.2694,-12.1928,8.5095,34.4961,0.2442,-0.3613,69.4788,-25.0577,10.7369,-63.9073,27.2611,-1.5878,-0.3613,88.9036,1
237.5548,-20.2624,40.736,-233.1572,45.4971,-2.3366,2.0324,59.2648,16.9976,-30.9876,-47.5728,35.3433,-1.1062,2.0324,95.8481,1
43.6719,9.4523,39.6031,-15.7953,40.7155,-0.3788,1.3365,45.8191,-11.4582,-38.8468,21.4249,40.5014,0.507,1.3365,89.288,1
74.7149,30.8219,3.2404,-67.984,30.9918,-1.527,0.1047,29.6774,-24.0448,10.5544,13.8276,26.2592,0.5049,0.1047,87.9125,1
120.9827,62.306999999999995,7.2497,103.4508,62.7274,1.2748,0.1158,67.2443,-15.5084,-39.8145,51.9239,42.7283,1.0257,0.1158,89.6521,1
122.2351,35.0494,22.5016,114.9202,41.6508,1.7394,0.5707,31.1082,-26.2209,12.1554,-11.5078,28.9014,-0.3883,0.5707,107.4292,1
81.8117,48.3677,-32.4952,-57.4263,58.2698,-0.8711,-0.5916,33.2909,-29.7692,8.2304,-12.4233,30.886,-0.3921,-0.5916,86.2261,1
244.2378,-31.0432,-31.7059,-240.1732,44.3728,-2.3903,-2.3456,206.2635,16.0119,40.0963,-201.6942,43.1751,-2.2459,-2.3456,86.0716,1
157.4976,13.8602,-36.2895,152.6318,38.8463,2.0774,-1.206,105.7033,-7.5993,28.6654,101.458,29.6556,1.9438,-1.206,67.9393,1
90.9083,-23.5631,40.5504,77.8766,46.8994,1.2806,2.0972,187.5367,23.5137,-27.1294,184.0683,35.9012,2.3371,2.0972,93.4686,1
43.9687,-33.5977,-16.7405,22.8952,37.5373,0.5773,-2.6793,53.1606,27.1822,19.5713,-41.2813,33.4949,-1.0366,-2.6793,95.1151,1
120.632,-3.3838,-31.864,-116.2984,32.0431,-2.0007,-1.6766,22.7193,2.0156,22.1836,4.4713,22.275,0.1994,-1.6766,89.1556,1
106.804,31.2284,39.1343,-94.3418,50.067,-1.3907,0.8973,114.368,-49.0225,-1.1694,-103.3221,49.0365,-1.4905,0.8973,89.9335,1
64.8886,-29.3025,14.4005,-56.076,32.6499,-1.3097,2.6848,35.1645,28.2719,-5.9524,20.0453,28.8917,0.6476,2.6848,92.9516,1
49.994,24.8045,41.7561,11.8562,48.5678,0.2418,1.0348,40.7081,-14.968,-35.9887,11.7442,38.9772,0.2969,1.0348,86.8325,1
61.3894,46.22,32.5167,-23.9801,56.5121,-0.4125,0.6131,35.3985,-7.0308,-20.8419,27.7352,21.9958,1.0544,0.6131,87.6454,1
139.6958,36.8529,-22.6869,132.8235,43.2763,1.8401,-0.5518,115.2277,-34.4438,26.1525,106.804,43.2473,1.6359,-0.5518,86.8725,1
151.1889,-36.5955,-29.9251,143.6083,47.2731,1.8303,-2.4561,154.3194,41.1147,17.7478,147.6789,44.7817,1.9086,-2.4561,91.205,1
42.2824,-21.5239,35.3517,8.6475,41.3887,0.2074,2.1177,52.5896,24.6438,-29.9874,-35.4839,38.8144,-0.8194,2.1177,90.7854,1
50.6618,32.3313,-6.2989,38.4919,32.9392,0.9957,-0.1924,40.8029,-30.6798,4.0284,-26.5971,30.9431,-0.7785,-0.1924,90.6445,1
151.4675,-22.4854,-26.4224,147.4404,34.6949,2.1535,-2.2759,38.8637,26.1007,22.164,18.382,34.2416,0.5139,-2.2759,93.2614,1
97.9227,-9.6005,43.8868,87.0093,44.9246,1.415,1.7862,72.2562,7.4077,-42.2839,58.1219,42.9279,1.1109,1.7862,88.8278,1
95.7793,-8.0339,36.2918,88.2725,37.1704,1.5997,1.7887,39.2987,18.4309,-29.6704,18.01,34.9289,0.4951,1.7887,82.45100000000001,1
166.1393,70.7335,-51.5008,141.2328,87.4961,1.2565,-0.6293,58.974,-24.3051,5.7002,53.4294,24.9646,1.5046,-0.6293,92.3544,1
239.9517,-23.0839,-40.981,-235.2966,47.0352,-2.3129,-2.0838,185.6041,30.5988,32.0187,-180.2426,44.2886,-2.1115,-2.0838,91.0389,1
