E1,pt1,eta1,phi1,E2,pt2,eta2,phi2,Rapidity,Pt,Class
139.6958,43.2763,1.8401,-0.5518,115.2277,43.2473,1.6359,-0.5518,1.738,4.2207,1
151.1889,47.2731,1.8303,-2.4561,154.3194,44.7817,1.9086,-2.4561,1.8684,12.9889,1
42.2824,41.3887,0.2074,2.1177,52.5896,38.8144,-0.8194,2.1177,-0.2908,6.2056,1
50.6618,32.9392,0.9957,-0.1924,40.8029,30.9431,-0.7785,-0.1924,0.1308,2.8076,1
151.4675,34.6949,2.1535,-2.2759,38.8637,34.2416,0.5139,-2.2759,1.3382,5.5861,1
97.9227,44.9246,1.415,1.7862,72.2562,42.9279,1.1109,1.7862,1.2664,2.7162,1
95.7793,37.1704,1.5997,1.7887,39.2987,34.9289,0.4951,1.7887,1.063,12.3264,1
166.1393,87.4961,1.2565,-0.6293,58.974,24.9646,1.5046,-0.6293,1.3118,65.2173,1
239.9517,47.0352,-2.3129,-2.0838,185.6041,44.2886,-2.1115,-2.0838,-2.2152,11.696,1
176.2609,52.5773,-1.8798,2.6184,21.0526,21.0478,0.0212,2.6184,-1.2575,31.5407,1
93.4451,24.4783,2.0151,-2.2686,25.8773,21.9406,-0.5904,-2.2686,0.7595,16.8652,1
113.4251,52.2304,1.4108,-1.2446,50.3061,39.4192,0.7271,-1.2446,1.115,27.0278,1
75.2025,40.6177,-1.2266,2.0061,38.3632,38.2959,0.0593,2.0061,-0.6003,24.6837,1
46.3018,31.8323,0.9206,2.4103,88.6661,26.5854,1.8744,2.4103,1.3576,14.1823,1
98.9778,57.8805,1.1305,-1.0035,47.5121,37.8286,0.7011,-1.0035,0.9601,40.433,1
113.3218,38.0038,-1.7563,-0.1618,52.3742,31.077,-1.1125,-0.1618,-1.4656,7.3267,1
176.8646,42.4249,2.1061,-0.2742,76.2064,39.5216,1.2745,-0.2742,1.7042,3.591,1
58.1034,55.9768,-0.2748,-0.5957,55.5457,30.0279,1.2255,-0.5957,0.2813,53.3524,1
69.0937,41.9603,-1.0835,0.8093,32.7511,30.3103,0.3987,0.8093,-0.4443,28.0284,1
53.7901,52.9411,0.1788,-0.4954,40.7515,35.3314,-0.5471,-0.4954,-0.1146,17.7894,1
43.7633,33.1196,0.7817,0.7071,92.196,29.6022,1.8024,0.7071,1.2656,15.8017,1
30.2415,29.5174,0.2211,0.5305,85.4821,26.4017,1.8433,0.5305,0.9948,7.9036,1
114.862,39.6957,1.7243,-2.6545,33.1678,31.9501,-0.2752,-2.6545,0.8071,19.0627,1
66.8144,50.1232,0.795,-2.8727,34.8245,31.4126,-0.462,-2.8727,0.295,43.7339,1
106.6071,45.2538,-1.5016,1.0198,165.0151,40.2311,-2.0893,1.0198,-1.7787,5.2127,1
50.2549,39.9546,0.7035,-1.1881,24.9115,22.1098,0.4983,-1.1881,0.6303,26.4751,1
48.8126,48.15,-0.1657,-0.1176,54.3753,42.6171,0.7267,-0.1176,0.255,21.1085,1
93.2574,38.0977,1.5438,0.8881,37.6453,37.5601,-0.0674,0.8881,0.7429,42.5886,1
100.0061,45.7424,-1.4184,1.2888,108.5693,43.0823,-1.5755,1.2888,-1.4946,2.7189,1
85.6227,42.9113,1.3143,-0.8424,41.1205,38.1673,0.3909,-0.8424,0.8778,6.844,1
62.628,59.0877,0.3445,-0.1952,35.0925,35.0753,0.0312,-0.1952,0.2275,25.4043,1
57.6228,24.863,1.4835,0.4223,38.4299,21.8437,-1.1653,0.4223,0.2153,3.267,1
34.0344,33.576,-0.1651,-0.224,56.4777,32.6219,1.1457,-0.224,0.482,2.9664,1
36.6921,36.5423,0.0905,-1.5688,86.9799,35.216,1.5536,-1.5688,0.8105,15.4335,1
117.7629,52.2327,-1.4528,2.8685,236.7181,49.2647,-2.2518,2.8685,-1.8412,55.8909,1
42.4275,39.8747,0.3559,-3.0425,97.1536,34.4923,1.6956,-3.0425,0.9834,5.6017,1
170.8645,31.1569,2.3866,-2.2284,22.7394,22.6787,0.0732,-2.2284,1.3597,17.47,1
38.6453,20.9481,1.2223,2.1829,52.2583,20.8781,-1.5681,2.1829,-0.1714,0.4893,1
43.0419,42.3729,-0.1775,0.4829,63.9993,35.0878,1.2088,0.4829,0.4592,30.0654,1
59.0273,58.5156,0.1322,2.2038,31.5563,31.5292,0.0414,2.2038,0.1004,27.6006,1
62.4479,34.5979,-1.1962,1.5231,36.7496,27.0332,0.8243,1.5231,-0.2802,25.7726,1
38.5259,38.501,-0.036,3.1107,65.2956,34.5075,-1.2524,3.1107,-0.6145,4.0307,1
95.4283,48.7511,-1.292,-0.0811,62.3948,48.3286,-0.7456,-0.0811,-1.02,38.6771,1
83.4953,62.7179,0.793,-0.7691,72.6743,32.0724,1.4585,-0.7691,1.0216,54.4404,1
298.435,60.4568,-2.2793,2.2519,154.6958,42.2463,-1.9719,2.2519,-2.1527,36.8079,1
87.3933,41.1054,1.3869,-0.9976,181.5842,41.0957,2.1659,-0.9976,1.7763,2.8759,1
222.5569,52.8782,2.1159,-2.9476,159.8504,45.1669,1.9364,-2.9476,2.0332,12.2053,1
147.76,116.4153,0.7183,1.0687,90.8297,27.4365,1.8666,1.0687,0.9601,131.2734,1
111.4353,46.486,1.5208,2.6189,91.7595,46.04,1.3129,2.6189,1.4174,15.5116,1
268.7853,58.1056,-2.2129,-1.3391,133.937,38.474,-1.9192,-1.3391,-2.0957,23.9085,1
50.1804,45.2928,-0.4605,1.0219,63.3584,30.9675,-1.3431,1.0219,-0.8237,14.9167,1
112.6722,66.5114,-1.1189,0.8827,66.7556,54.8785,-0.6466,0.8827,-0.905,84.8068,1
80.4025,36.9127,1.4142,0.1011,32.8951,32.888,0.0208,0.1011,0.7523,10.8363,1
105.2307,40.8848,-1.5985,0.3294,46.3866,39.1011,-0.6013,0.3294,-1.1102,3.3491,1
